"Lenovo PHAB PB1-750M (ZA0L0005BG) 16GB Wi-Fi + 4G/LTE tablet + telefon, Black (Android)"
"Lenovo MIIX 300 (80NR004NHV) 64GB Wi-Fi tablet + dokkoló, fekete (Windows 10)"
"Alcor Myth LED ebook olvasó beépített háttérvilágítással"
"Lenovo Ideapad 100s 80R9004RHV notebook Windows 10, ezüst-fekete"
"Philips 43PUH4900/88 UHD LED Televízió"
"Nokia 230 (Dual SIM) kártyafüggetlen mobiltelefon, Dark Silver"
"Lenovo 100-15IBY 80MJ00KQHV notebook Windows 10, fekete"
"LG Zero (H650E) kártyafüggetlen okostelefon, Silver Gold (Android)"
"Huawei MediaPad M2 10 Full HD Wi-Fi 16GB tablet, Silver (Android)"
"Acer Iconia Tab One 10 S1002-18JD (NT.G53EU.005) 32GB tablet, Black (Windows 10)"
"LG 25UM58-P 21:9 IPS LED Monitor"
"Asus X553SA-XX207D notebook, fehér "
"Samsung Galaxy S7 (SM-G930) 32GB kártyafüggetlen okostelefon, fekete (Android)"
"Samsung Galaxy S7 edge (SM-G935) 32GB kártyafüggetlen okostelefon, fekete (Android)"
"Intel Compute Stick HDMI mini PC Win10 operációs rendszerrel"
"Indesit LI6 S1 X alulfagyasztós hűtőszekrény"
"Platinet univerzális vésztöltő, külső akkumulátor 10000 mAh, fekete"
"Platinet univerzális vésztöltő, külső akkumulátor 20000 mAh, fekete/szürke"
"Royalty Line RL 16BG Rozsdamentes edénykészlet 16 részes, indukciós"
"HP 250 G4 M9S72EA notebook, fekete "
"Lenovo B50-80 80EW03FTHV notebook, fekete "
"LG 23MP68VQ-P 23"" LED Monitor"
"Lenovo Vibe S1 Lite (Dual SIM) kártyafüggetlen okostelefon, Blue (Android)  + Lenovo MP506 Power Bank, Silver"
"Edesa by Fagor HOME-V2 12 terítékes mosogatógép"
"Lenovo Vibe S1 Lite (Dual SIM) kártyafüggetlen okostelefon, White (Android)"
"Asus X540SA-XX153D notebook, fehér"
"Asus X540LA-XX019T notebook Windows 10, fekete + notebook táska és egér"
"Apple iPhone SE 16GB kártyafüggetlen okostelefon, asztroszürke"
"Apple iPhone SE 64GB kártyafüggetlen okostelefon, asztroszürke"
"Doogee X6 Pro (Dual SIM) kártyafüggetlen okostelefon, fekete (Android)"
"Lenovo K5 Plus (Dual SIM) kártyafüggetlen okostelefon, Gold (Android)"
"Huawei P9 (Dual Active SIM) kártyafüggetlen okostelefon, Titanium Grey (Android)"
"Huawei P9 (Dual Active SIM) kártyafüggetlen okostelefon, Mystic Silver (Android)"
"Lenovo A7-10F Andy lite (ZA0R0018BG) 8GB Wifi tablet, Black (Android)"
"Samsung J120 Galaxy J1 (2016) kártyafüggetlen okostelefon, White (Android)"
"Nikon Coolpix B500 fényképezőgép, fekete"
"Asus ZenFone GO (ZB452KG) (Dual Sim) kártyafüggetlen okostelefon, Black (Android)"
"Asus ZenFone GO (ZB452KG) (Dual Sim) kártyafüggetlen okostelefon, White (Android)"
"Alcatel Pixi 4 (6"") 8050D (Dual SIM) kártyafüggetlen okostelefon, Gold (Android)"
"Huawei Y3 II (Dual SIM) kártyafüggetlen okostelefon, Black (Android)"
"Huawei Y3 II (Dual SIM) kártyafüggetlen okostelefon, White (Android)"
"Huawei Y5 II (Dual SIM) kártyafüggetlen okostelefon, Black (Android)"
"Huawei Y5 II (Dual SIM) kártyafüggetlen okostelefon, White (Android)"
"Huawei Y6 Pro (Dual SIM) kártyafüggetlen okostelefon, White (Android)"
"Huawei P9 Lite (Dual SIM) kártyafüggetlen okostelefon, Black (Android) + Huawei A1 band okoskarkötő"
"Huawei P9 Lite (Dual SIM) kártyafüggetlen okostelefon, White (Android) + Huawei A1 band okoskarkötő"
"Huawei P9 Lite (Dual Sim) kártyafüggetlen okostelefon, Gold (Android) + Huawei A1 band okoskarkötő"
"Prestigio Grace S5 LTE 5551 (Dual SIM) kártyafüggetlen okostelefon, Gold (Android)"
"Asus X555UA-XX205D notebook, barna"
"LG 32LH6047 webOS 3.0  SMART LED Televízió"
"LG 43UH6107 UHD webOS 3.0 SMART HDR Pro LED Televízió"
"Apple MacBook Air 13"" (2016) Core i5 1.6GHz,8GB,128GB SSD,HD 6000 (mmgf2mg/a)"
"Samsung UE60J6200AWXXH SMART LED Televízió"
"Sony Xperia X (F5121) kártyafüggetlen okostelefon, Black (Android)"
"Whirlpool PACW9COL mobil klíma "
"Samsung UE50KU6000WXXH UHD SMART LED Televízió"
"Alcatel Pop Up 5.0 6044D Dual SIM kártyafüggetlen okostelefon, Black (Android)"
"Samsung UE32K5500AWXXH FHD SMART LED Televízió"
"Samsung UE40K5500AWXXH FHD SMART LED Televízió"
"Samsung UE43KU6000WXXH UHD SMART LED Televízió"
"Samsung J510 Galaxy J5 (2016) Dual SIM kártyafüggetlen okostelefon, Gold (Android)"
"Samsung J510 Galaxy J5 (2016) Dual SIM kártyafüggetlen okostelefon, Black (Android)"
"Lenovo Vibe C A2020 Dual SIM kártyafüggetlen okostelefon, Black (Android)"
"Lenovo Vibe C A2020 Dual SIM kártyafüggetlen okostelefon, White (Android)"
"Asus X540SA-XX021D notebook, fekete-ezüst "
"Asus X540LA-XX002T notebook, Windows 10, fekete-ezüst "
"Samsung J320 Galaxy J3 (2016) Dual SIM kártyafüggetlen okostelefon, Gold (Android)"
"Sencor SLE40F11 LED Televízió"
"Alcatel Pixi First (4024D) (Dual SIM) kártyafüggetlen okostelefon, Soft Slate (Android)"
"Kingston SSDNow UV400 2,5"" 120GB SATA3 SSD (SUV400S37/120G)"
"Kingston SSDNow UV400 2,5"" 240GB SATA3 SSD (SUV400S37/240G)"
"Asus GL552VW-CN515D notebook, fekete"
"Samsung Galaxy Tab A 10.1 (2016) (SM-T580) WiFi 16GB tablet, White (Android)"
"Honor 7 Premium (Dual SIM) kártyafüggetlen okostelefon, Gold (Android)"
"Samsung Galaxy Xcover 3 VE (G389F) LTE kártyafüggetlen okostelefon, Silver (Android)"
"Coolpad A8 Max (A8-U00) (Dual SIM) kártyafüggetlen okostelefon, Champagne (Android)"
"Overmax Touch 2.5 okosóra, ezüst"
"Alcatel Pixi 4 (5"") 5010D Dual SIM kártyafüggetlen okostelefon, Black (Android)"
"Honor 7 lite (Dual SIM) kártyafüggetlen okostelefon, ezüst (Android)"
"Honor 7 lite (Dual SIM) kártyafüggetlen okostelefon, szürke (Android)"
"Honor 7 lite (Dual SIM) kártyafüggetlen okostelefon, arany (Android)"
"Ilike X5 kártyafüggetlen okostelefon LTE, (Android)"
"Asus ZenFone GO (ZB452KG) Dual Sim kártyafüggetlen okostelefon, White (Android) + Zenpower 10050 mAh külső akkumulátor"
"Sony Xperia XA F3111 kártyafüggetlen okostelefon, Graphite Black (Android)"
"Sony Xperia XA F3111 kártyafüggetlen okostelefon, Rose Gold (Android)"
"Xbox One S 2TB játékkonzol"
"Xiaomi Redmi 3 PRO (Dual SIM) kártyafüggetlen okostelefon, fekete/szürke (Android)"
"Xiaomi Redmi 3 PRO (Dual SIM) kártyafüggetlen okostelefon, fehér/ezüst (Android)"
"Xiaomi Redmi 3 PRO (Dual SIM) kártyafüggetlen okostelefon, arany/classic (Android)"
"Cat S60 (Dual SIM) kártyafüggetlen okostelefon (Android)"
"Lenovo A7-30 Arvin (59-444600) 7"" 8GB Wifi + 3G tablet, Black (Android)"
"Sony Xperia E5 (F3311) kártyafüggetlen okostelefon, Black (Android)"
" Xiaomi Redmi Note 3 Pro 3/32 (Dual Sim) kártyafüggetlen okostelefon, Fekete-Szürke (Android)"
"Huawei Y5 II Dual Sim kártyafüggetlen okostelefon , Gold (Android)"
"Vernee Thor Dual Sim kártyafüggetlen okostelefon, Black (Android) + WayteQ S4000 3in1 selfie bot"
"HP 250 G5 W4Q07EA notebook, fekete"
"Asus X540LJ-XX584T notebook, fekete + Windows10 + Microsoft Office 365 egyszemélyes verzió"
"Alcatel Idol 4 (6055K) Dual SIM kártyafüggetlen okostelefon, Dark Gray (Android) + VR virtuális valóság szemüveg"
